ID,deaths_r,deaths_nr,deaths,pestfield,dis_pestf,dis_sewers,dis_bspump,death_dum,COORD_X,COORD_Y
1,0,0,0,1,10.08,10.08,125,0,529286.3973,181084.1174
2,1,0,1,1,14.64,14.64,119.94,1,529289.815,181079.7481
3,0,0,0,1,18.47,18.47,116.27,0,529291.7306,181075.3406
4,0,0,0,1,22.98,22.98,112.56,0,529293.5114,181070.3276
5,0,0,0,1,27.47,27.47,109.1,0,529295.355,181065.7978
6,5,0,5,1,32.21,32.21,105.54,1,529297.424,181061.2738
7,1,0,1,1,42.77,42.77,101.43,1,529300.1719,181056.6467
8,0,0,0,1,36.43,36.43,97.56,0,529302.4277,181050.6822
9,0,0,0,1,31.48,31.48,94.08,0,529304.8722,181046.1677
10,0,0,0,1,32.31,32.31,112.86,0,529286.4466,181000.3309
11,0,0,0,1,24.91,24.91,111.19,0,529289.8683,180993.7594
12,0,0,0,1,20.73,20.73,110.2,0,529292.0374,180990.1523
13,0,0,0,1,15.97,15.97,108.99,0,529294.7714,180986.1158
14,0,0,0,1,8.72,8.72,107.9,0,529298.6747,180979.6675
15,0,0,0,1,36.06,40.17,120.91,0,529275.7296,181020.8167
16,0,0,0,1,32.43,32.43,116.53,0,529280.0447,181023.7404
17,2,0,2,1,29.43,29.43,112.61,1,529283.9592,181026.0615
18,2,0,2,1,26.94,26.94,108.83,1,529287.7813,181028.3802
19,1,0,1,1,25.42,25.42,105.57,1,529291.1399,181030.7612
20,1,0,1,1,25.79,25.79,103.48,1,529293.4619,181033.9304
21,0,0,0,1,48.88,48.88,65.82,0,529338.4784,181056.0365
22,0,0,0,1,46.77,46.77,61.82,0,529340.7851,181051.7263
23,1,0,1,1,58.18,44.46,124.83,1,529271.7608,181027.7317
24,0,0,0,1,54.64,40.64,127.8,0,529268.9283,181031.6023
25,0,0,0,1,51.64,42.51,129.96,0,529266.9805,181034.9639
26,0,0,0,1,37.3,37.3,133.37,0,529264.018,181039.8631
27,0,0,0,1,32.94,32.94,136.37,0,529261.4426,181043.4929
28,1,0,1,1,28.75,28.75,139.07,1,529259.303,181047.4182
29,0,0,0,1,24.74,24.74,142.15,0,529256.7384,181050.6219
30,6,0,6,1,19.83,19.83,145.93,1,529253.7054,181054.8087
31,0,0,0,1,15.77,15.77,149.17,0,529251.215,181058.5829
32,0,0,0,1,12.43,12.43,152.1,0,529249.0827,181062.224
33,0,0,0,1,9.88,9.88,154.72,0,529246.9829,181064.5868
34,0,0,0,1,9.99,9.99,170.85,0,529233.1524,181074.8949
35,0,0,0,1,11.83,11.83,167.33,0,529237.6959,181077.5687
36,0,0,0,1,14.86,14.86,163.23,0,529242.7005,181079.5437
37,0,0,0,1,18.61,18.61,159.79,0,529247.0848,181081.5029
38,0,0,0,1,23.95,23.95,155.58,0,529252.6068,181084.0596
39,0,0,0,1,18.74,18.74,151.49,0,529257.7109,181085.6107
40,0,0,0,1,13.19,13.19,147.17,0,529263.4209,181087.7457
41,0,0,0,1,8.95,8.95,143.16,0,529269.9666,181091.8919
42,1,0,1,1,34.02,34.02,116.11,1,529283.745,181052.4952
43,2,0,2,1,37.76,37.76,113.23,1,529285.9335,181049.1786
44,0,0,0,1,42.87,42.87,109.92,0,529288.381,181044.5438
45,0,0,0,1,33.47,33.47,107.41,0,529290.4132,181041.4641
46,2,0,2,1,17.61,17.61,103.34,1,529293.8368,181013.75
47,0,0,0,1,12.33,12.33,97.73,0,529299.1608,181017.0595
48,2,0,2,1,10.93,10.93,95.19,1,529302.8053,181008.5881
49,0,0,0,1,12.85,12.85,93.69,0,529305.25,181004.0747
50,0,0,0,1,16.21,16.21,92.15,0,529308.0241,180999.5171
51,2,0,2,1,20.16,20.16,90.75,1,529310.857,180995.2239
52,5,0,5,1,26.48,26.48,91.13,1,529312.8948,180988.944
53,3,0,3,1,20.49,20.49,90.35,1,529316.168,180983.8326
54,0,0,0,1,23.07,23.07,90.53,0,529323.858,180971.1202
55,1,0,1,1,25.69,25.69,91.6,1,529325.5286,180967.2274
56,0,0,0,1,29.24,29.24,92.65,0,529328.3029,180962.4181
57,1,0,1,1,33.95,33.95,95.68,1,529328.9218,180957.3966
58,1,0,1,1,43.16,31.66,97.51,1,529337.6236,180947.3861
59,2,0,2,1,34.54,37.33,39.85,1,529370.5972,180994.8201
60,1,1,2,1,29.47,29.47,45.17,1,529365.7574,180992.0209
61,0,0,0,1,24.46,24.46,49.75,0,529360.7875,180990.4776
62,3,0,3,1,21.06,21.06,54.63,1,529357.1376,180987.2364
63,2,0,2,1,15.96,15.96,59.96,1,529351.4845,180985.5184
64,3,0,3,1,12.18,12.18,64.32,1,529346.801,180984.2973
65,1,0,1,1,10.49,10.49,70.41,1,529341.3763,180981.3258
66,3,0,3,1,12.95,12.95,76.36,1,529336.7568,180977.5877
67,0,0,0,1,19.7,19.7,77.22,0,529341.0396,180971.4001
68,2,0,2,1,24.29,24.29,78.77,1,529343.1108,180967.2026
69,3,0,3,1,56.31,56.31,58.65,1,529341.9749,181046.5401
70,1,0,1,1,50.89,50.89,53.99,1,529344.872,181040.6852
71,0,0,0,1,46.14,46.14,50,0,529347.5999,181035.2611
72,0,0,0,1,42.52,42.52,45.63,0,529351.2288,181030.3482
73,1,0,1,1,37.58,37.58,42.81,1,529353.7563,181023.8203
74,0,0,0,1,35.93,35.93,36.75,0,529360.7113,181016.9168
75,0,0,0,1,11.56,11.56,72.88,0,529328.4894,180999.0057
76,0,0,0,1,11.79,11.79,67.29,0,529333.3659,181001.9376
77,2,0,2,1,15.2,15.2,61.49,1,529338.2239,181005.6015
78,0,0,0,1,17.61,17.61,56.58,0,529342.9917,181006.8216
79,1,0,1,1,25.2,25.2,48.23,1,529350.2607,181011.5235
80,1,0,1,1,31.37,31.37,41.46,1,529356.4282,181014.6103
81,0,0,0,1,25.79,25.79,90.7,0,529307.2396,181040.8263
82,4,0,4,1,19.72,19.72,87.15,1,529309.9768,181035.0361
83,0,0,0,1,14.92,14.92,83.95,0,529312.7653,181030.2239
84,3,0,3,1,11.07,11.07,80.55,1,529316.0105,181025.4234
85,2,0,2,1,8.32,8.32,78.58,1,529318.1231,181020.2277
86,2,0,2,1,8.11,8.11,77.72,1,529319.4715,181015.1348
87,1,0,1,1,12.39,12.39,75.49,1,529322.5706,181010.0863
88,4,0,4,1,16.48,16.48,74.86,1,529324.3695,181005.2489
89,0,0,0,1,12.47,12.47,74.29,0,529327.0461,180998.8469
90,4,0,4,1,39.89,39.89,114.3,1,529283.6393,181007.3867
91,3,0,3,1,23.43,23.43,109.06,1,529288.519,181010.1966
92,0,0,0,0,283.23,51.72,442.99,0,528996.1405,181214.4142
93,0,0,0,0,277.55,46.51,437.45,0,529000.4883,181210.6305
94,0,0,0,0,266.86,34.83,427.4,0,529006.9189,181200.572
95,0,0,0,0,270.7,41.83,430.53,0,529006.8348,181207.8711
96,0,0,0,0,262.7,28.74,423.73,0,529008.2852,181194.6035
97,0,0,0,0,257.43,20.3,419.15,0,529009.6162,181186.038
98,0,0,0,0,252.48,13.22,414.68,0,529011.6142,181179.112
