ID,deaths_r,deaths_nr,deaths,pestfield,dis_pestf,dis_sewers,dis_bspump,death_dum,COORD_X,COORD_Y,Longitude,Latitude
1,0,0,0,1,10.08,10.08,125.0,0,529286.3973,181084.1174,-0.13823254601880625,51.513897005094314
2,1,0,1,1,14.64,14.64,119.94,1,529289.815,181079.7481,-0.13818492215042305,51.51385695816801
3,0,0,0,1,18.47,18.47,116.27,0,529291.7306,181075.3406,-0.13815894695626213,51.51381691136039
4,0,0,0,1,22.98,22.98,112.56,0,529293.5114,181070.3276,-0.1381351351890423,51.51377145392523
5,0,0,0,1,27.47,27.47,109.1,0,529295.355,181065.7978,-0.13811024190714052,51.51373032449639
6,5,0,5,1,32.21,32.21,105.54,1,529297.424,181061.2738,-0.13808210013984726,51.51368919564981
7,1,0,1,1,42.77,42.77,101.43,1,529300.1719,181056.6467,-0.13804421811210155,51.51364698504222
8,0,0,0,1,36.43,36.43,97.56,0,529302.4277,181050.6822,-0.13801391387837852,51.51359286813982
9,0,0,0,1,31.48,31.48,94.08,0,529304.8722,181046.1677,-0.13798036054225327,51.513551738785615
10,0,0,0,1,32.31,32.31,112.86,0,529286.4466,181000.3309,-0.13826253568485727,51.513144030290455
11,0,0,0,1,24.91,24.91,111.19,0,529289.8683,180993.7594,-0.13821566184455,51.5130841919687
12,0,0,0,1,20.73,20.73,110.2,0,529292.0374,180990.1523,-0.1381857426977352,51.5130512801597
13,0,0,0,1,15.97,15.97,108.99,0,529294.7714,180986.1158,-0.13814784487818957,51.51301438030444
14,0,0,0,1,8.72,8.72,107.9,0,529298.6747,180979.6675,-0.13809398986966362,51.51295553898785
15,0,0,0,1,36.06,40.17,120.91,0,529275.7296,181020.8167,-0.1384093839531714,51.513330579888205
16,0,0,0,1,32.43,32.43,116.53,0,529280.0447,181023.7404,-0.13834616346897033,51.51335586784008
17,2,0,2,1,29.43,29.43,112.61,1,529283.9592,181026.0615,-0.1382889334508646,51.513375831958655
18,2,0,2,1,26.94,26.94,108.83,1,529287.7813,181028.3802,-0.1382330350781729,51.51339579560522
19,1,0,1,1,25.42,25.42,105.57,1,529291.1399,181030.7612,-0.1381837895142404,51.51341642506433
20,1,0,1,1,25.79,25.79,103.48,1,529293.4619,181033.9304,-0.13814918501210238,51.5134443748133
21,0,0,0,1,48.88,48.88,65.82,0,529338.4784,181056.0365,-0.13749271938422747,51.5136327414847
22,0,0,0,1,46.77,46.77,61.82,0,529340.7851,181051.7263,-0.13746107631376306,51.51359347948368
23,1,0,1,1,58.18,44.46,124.83,1,529271.7608,181027.7317,-0.13846401220288662,51.51339363012782
24,0,0,0,1,54.64,40.64,127.8,0,529268.9283,181031.6023,-0.13850339003919485,51.51342906150769
25,0,0,0,1,51.64,42.51,129.96,0,529266.9805,181034.9639,-0.13853021225870923,51.513459716419256
26,0,0,0,1,37.3,37.3,133.37,0,529264.018,181039.8631,-0.13857108574913776,51.51350442120687
27,0,0,0,1,32.94,32.94,136.37,0,529261.4426,181043.4929,-0.13860684901232329,51.5135376297892
28,1,0,1,1,28.75,28.75,139.07,1,529259.303,181047.4182,-0.13863622732615333,51.51357339431779
29,0,0,0,1,24.74,24.74,142.15,0,529256.7384,181050.6219,-0.13867199122905183,51.51360277118173
30,6,0,6,1,19.83,19.83,145.93,1,529253.7054,181054.8087,-0.13871414134705237,51.51364108991376
31,0,0,0,1,15.77,15.77,149.17,0,529251.215,181058.5829,-0.13874862768214907,51.51367557670517
32,0,0,0,1,12.43,12.43,152.1,0,529249.0827,181062.224,-0.13877800515610725,51.513708785512215
33,0,0,0,1,9.88,9.88,154.72,0,529246.9829,181064.5868,-0.1388073828161006,51.51373049919165
34,0,0,0,1,9.99,9.99,170.85,0,529233.1524,181074.8949,-0.1390028063866099,51.51382629576601
35,0,0,0,1,11.83,11.83,167.33,0,529237.6959,181077.5687,-0.13893638743497616,51.51384928605935
36,0,0,0,1,14.86,14.86,163.23,0,529242.7005,181079.5437,-0.13886358319170752,51.513865891029674
37,0,0,0,1,18.61,18.61,159.79,0,529247.0848,181081.5029,-0.13879971881797887,51.51388249573611
38,0,0,0,1,23.95,23.95,155.58,0,529252.6068,181084.0596,-0.138719249312284,51.513904209922586
39,0,0,0,1,18.74,18.74,151.49,0,529257.7109,181085.6107,-0.1386451671011559,51.513916982553724
40,0,0,0,1,13.19,13.19,147.17,0,529263.4209,181087.7457,-0.1385621441995849,51.513934863970526
41,0,0,0,1,8.95,8.95,143.16,0,529269.9666,181091.8919,-0.13846634785721482,51.51397062832993
42,1,0,1,1,34.02,34.02,116.11,1,529283.745,181052.4952,-0.13828233331890583,51.51361343247452
43,2,0,2,1,37.76,37.76,113.23,1,529285.9335,181049.1786,-0.13825202793141245,51.5135831268804
44,0,0,0,1,42.87,42.87,109.92,0,529288.381,181044.5438,-0.13821847525665135,51.51354091580721
45,0,0,0,1,33.47,33.47,107.41,0,529290.4132,181041.4641,-0.13819033431304306,51.513512774878926
46,2,0,2,1,17.61,17.61,103.34,1,529293.8368,181013.75,-0.13815117994578405,51.51326293404984
47,0,0,0,1,12.33,12.33,97.73,0,529299.1608,181017.0595,-0.13807328713070963,51.513291458254045
48,2,0,2,1,10.93,10.93,95.19,1,529302.8053,181008.5881,-0.138023900677268,51.51321449510046
49,0,0,0,1,12.85,12.85,93.69,0,529305.25,181004.0747,-0.13799034431772184,51.51317337558894
50,0,0,0,1,16.21,16.21,92.15,0,529308.0241,180999.5171,-0.13795205997226678,51.51313178353766
51,2,0,2,1,20.16,20.16,90.75,1,529310.857,180995.2239,-0.13791283192589063,51.513092554110465
52,5,0,5,1,26.48,26.48,91.13,1,529312.8948,180988.944,-0.1378857835620158,51.51303565262037
53,3,0,3,1,20.49,20.49,90.35,1,529316.168,180983.8326,-0.1378405140243284,51.5129889695785
54,0,0,0,1,23.07,23.07,90.53,0,529323.858,180971.1202,-0.1377344168366229,51.51287296865986
55,1,0,1,1,25.69,25.69,91.6,1,529325.5286,180967.2274,-0.13771178257309646,51.51283760323294
56,0,0,0,1,29.24,29.24,92.65,0,529328.3029,180962.4181,-0.13767358812688443,51.512793749097995
57,1,0,1,1,33.95,33.95,95.68,1,529328.9218,180957.3966,-0.13766651479952433,51.51274848089427
58,1,0,1,1,43.16,31.66,97.51,1,529337.6236,180947.3861,-0.137544855801704,51.51265652956225
59,2,0,2,1,34.54,37.33,39.85,1,529370.5972,180994.8201,-0.13705256204736005,51.513075261984305
60,1,1,2,1,29.47,29.47,45.17,1,529365.7574,180992.0209,-0.13712329426282313,51.513051213603134
61,0,0,0,1,24.46,24.46,49.75,0,529360.7875,180990.4776,-0.13719543976927884,51.513038481320116
62,3,0,3,1,21.06,21.06,54.63,1,529357.1376,180987.2364,-0.13724919618990336,51.51301018855796
63,2,0,2,1,15.96,15.96,59.96,1,529351.4845,180985.5184,-0.13733124551822815,51.512996042490805
64,3,0,3,1,12.18,12.18,64.32,1,529346.801,180984.2973,-0.13739914786243054,51.51298614008367
65,1,0,1,1,10.49,10.49,70.41,1,529341.3763,180981.3258,-0.1374783670120322,51.512960676857276
66,3,0,3,1,12.95,12.95,76.36,1,529336.7568,180977.5877,-0.1375462700737289,51.51292814022807
67,0,0,0,1,19.7,19.7,77.22,0,529341.0396,180971.4001,-0.137486854603713,51.51287155467762
68,2,0,2,1,24.29,24.29,78.77,1,529343.1108,180967.2026,-0.1374585625468727,51.5128333593377
